Final Timetable:
Course: Advanced Data Analytics, Room: Room 2, Teacher: Mr. A, Timeslot: 11 AM
Course: Artificial Intelligence, Room: Room 1, Teacher: Mr. A, Timeslot: 9 AM
Course: Business Analytics, Room: Room 3, Teacher: Ms. B, Timeslot: 11 AM
Course: Computer Science, Room: Room 3, Teacher: Mr. C, Timeslot: 12 PM
Course: Cyber Security, Room: Room 3, Teacher: Mr. C, Timeslot: 1 PM
Course: Data Science, Room: Room 2, Teacher: Ms. D, Timeslot: 10 AM
Course: Data Mining Machine Learning, Room: Room 5, Teacher: Ms. D, Timeslot: 1 PM
Course: Big Data Analytics, Room: Room 2, Teacher: Mr. E, Timeslot: 1 PM
Course: Heuristic Search, Room: Room 5, Teacher: Mr. E, Timeslot: 12 PM
Course: Real Time Systems, Room: Room 4, Teacher: Mr. E, Timeslot: 11 AM
Course: Reinforcement Learning, Room: Room 5, Teacher: Mr. F, Timeslot: 1 PM
Course: Machine Learning Design, Room: Room 4, Teacher: Mr. F, Timeslot: 12 PM
Course: Cloud Computing, Room: Room 4, Teacher: Mr. G, Timeslot: 10 AM
Course: Computer Networking, Room: Room 4, Teacher: Mr. G, Timeslot: 1 PM
