Generation,Current Best Fitness,Overall Best Fitness
1,115,115
2,115,115
3,115,115
4,107,115
5,107,115
6,115,115
7,105,115
8,105,115
9,105,115
10,105,115
11,105,115
12,117,117
13,102,117
14,94,117
15,75,117
16,70,117
17,77,117
18,66,117
19,66,117
20,64,117
21,74,117
22,74,117
23,57,117
24,34,117
25,44,117
26,52,117
27,44,117
28,49,117
29,57,117
30,25,117
31,30,117
32,25,117
33,30,117
34,30,117
35,30,117
36,30,117
37,10,117
38,2,117
39,-16,117
40,19,117
41,26,117
42,52,117
43,-11,117
44,2,117
45,2,117
46,-33,117
47,24,117
48,42,117
49,19,117
50,19,117
51,37,117
52,32,117
53,32,117
54,1,117
55,4,117
56,4,117
57,-8,117
58,-40,117
59,-11,117
60,-8,117
61,-8,117
62,-13,117
63,-21,117
64,-6,117
65,5,117
66,27,117
67,9,117
68,2,117
69,-31,117
70,-35,117
71,10,117
72,22,117
73,22,117
74,22,117
75,-6,117
76,2,117
77,-33,117
78,-26,117
79,-33,117
80,-33,117
81,30,117
82,12,117
83,-23,117
84,12,117
85,17,117
86,-28,117
87,-31,117
88,-27,117
89,-4,117
90,14,117
91,29,117
92,12,117
93,9,117
94,24,117
95,7,117
96,27,117
97,5,117
98,7,117
99,7,117
100,-8,117
