Generation,Current Best Fitness,Overall Best Fitness
1,-13,57
2,-23,57
3,-30,57
4,2,57
5,-45,57
6,42,57
7,-16,57
8,-33,57
9,-45,57
10,9,57
11,3,57
12,14,57
13,-8,57
14,-8,57
15,-26,57
16,-58,57
17,-33,57
18,-48,57
19,7,57
20,-23,57
21,7,57
22,2,57
23,-48,57
24,10,57
25,-16,57
26,-25,57
27,-10,57
28,-18,57
29,30,57
30,-36,57
31,-21,57
32,-10,57
33,14,57
34,-20,57
35,-20,57
36,-60,57
37,22,57
38,-28,57
39,-49,57
40,-58,57
41,-35,57
42,-48,57
43,-23,57
44,17,57
45,-40,57
46,12,57
47,-23,57
48,-3,57
49,-75,57
50,22,57
51,4,57
52,4,57
53,-21,57
54,-43,57
55,-13,57
56,26,57
57,-1,57
58,-36,57
59,32,57
60,25,57
61,0,57
62,-45,57
63,-33,57
64,-6,57
65,-48,57
66,-30,57
67,-8,57
68,-38,57
69,-31,57
70,-53,57
71,10,57
72,7,57
73,22,57
74,-53,57
75,-13,57
76,-25,57
77,0,57
78,-33,57
79,-1,57
80,7,57
81,17,57
82,-76,57
83,-13,57
84,-43,57
85,-48,57
86,-21,57
87,-13,57
88,-15,57
89,-41,57
90,-46,57
91,-50,57
92,-38,57
93,0,57
94,-3,57
95,30,57
96,35,57
97,-63,57
98,-23,57
99,-5,57
100,-25,57
